GEOID,poverty_pct_over65
63368,3.637786035595541
63104,14.576634512325832
63021,2.8153697438376026
63033,9.360950545921645
63034,5.228951255539143
63043,10.185185185185185
63074,9.4712376525276
63101,28.782287822878228
63108,17.210084033613445
63109,6.604774535809018
63038,6.4833005893909625
63373,2.73972602739726
63116,13.453389830508474
63121,13.37011884550085
63122,5.845869622591713
63123,6.155778894472362
63140,23.333333333333332
63126,4.2303937520338435
63127,7.324595219737856
63131,2.5319567354965584
63144,4.956896551724138
63367,3.6873539340431054
63303,3.2554369850060785
63332,9.313725490196079
63385,5.680705190989226
63386,2.380952380952381
63026,3.7375274818197193
63044,4.002134471718249
63049,8.674803836094158
63102,0
63011,1.2737127371273713
63005,1.661514683153014
63115,19.407590249922862
63128,3.201679569610287
63136,9.950900163666121
63141,2.3019034971226207
63088,9.774436090225564
63103,21.46666666666667
63111,22.61904761904762
63118,18.285431119920716
63124,3.404669260700389
63132,4.5321637426900585
63134,12.345679012345679
63138,14.53287197231834
63376,3.8141669056495555
63106,41.97051978277735
63110,12.542759407069557
63025,3.160377358490566
63031,6.089639493341994
63105,4.7859922178988334
63112,13.591867469879517
63114,9.985597695631302
63119,4.4720697449144335
63125,12.217194570135746
63130,8.678955453149001
63135,6.438947781703966
63143,13.544973544973546
63146,8.458434221146085
63304,3.0994550408719346
63348,3.8893690579083837
63357,3.549060542797495
63107,21.646557842441446
63113,20.133414190418435
63117,5.275779376498801
63120,10.161443494776828
63139,11.095100864553315
63147,13.384723195515067
63341,7.0840197693574956
63017,5.108808290155441
63040,1.040582726326743
63042,6.497752349816101
63366,3.4288398309065293
63069,3.241182078169685
63129,5.077646097261954
63133,26.488706365503077
63137,16.928044280442805
63301,6.034164925648273
